constructorId,url,name,nationality
adams,http://en.wikipedia.org/wiki/Adams_(constructor),Adams,American
afm,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,AFM,German
ags,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,AGS,French
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
alta,http://en.wikipedia.org/wiki/Alta_auto_racing_team,Alta,British
amon,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),Amon,New Zealander
moda,http://en.wikipedia.org/wiki/Andrea_Moda_Formula,Andrea Moda,Italian
apollon,http://en.wikipedia.org/wiki/Apollon_(Formula_One),Apollon,Swiss
arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
arzani-volpini,http://en.wikipedia.org/wiki/Arzani-Volpini,Arzani-Volpini,Italian
butterworth,http://en.wikipedia.org/wiki/Aston_Butterworth,Aston Butterworth,British
aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
ats,http://en.wikipedia.org/wiki/ATS_(wheels),ATS,Italian
bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British
behra-porsche,http://en.wikipedia.org/wiki/Behra-Porsche,Behra-Porsche,Italian
bellasi,http://en.wikipedia.org/wiki/Bellasi,Bellasi,Swiss
benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
bmw,http://en.wikipedia.org/wiki/BMW,BMW,German
bmw_sauber,http://en.wikipedia.org/wiki/BMW_Sauber,BMW Sauber,German
boro,http://en.wikipedia.org/wiki/Boro_(Formula_One),Boro,Dutch
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
brabham-alfa_romeo,http://en.wikipedia.org/wiki/Brabham,Brabham-Alfa Romeo,British
brabham-brm,http://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British
brabham-climax,http://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British
brabham-ford,http://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British
brabham-repco,http://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British
brawn,http://en.wikipedia.org/wiki/Brawn_GP,Brawn,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
brm-ford,http://en.wikipedia.org/wiki/BRM,BRM-Ford,British
bromme,http://en.wikipedia.org/wiki/Bromme,Bromme,American
brp,http://en.wikipedia.org/wiki/British_Racing_Partnership,BRP,British
bugatti,http://en.wikipedia.org/wiki/Bugatti,Bugatti,French
caterham,http://en.wikipedia.org/wiki/Caterham_F1,Caterham,Malaysian
vhristensen,http://en.wikipedia.org/wiki/Christensen_(constructor),Christensen,American
cisitalia,http://en.wikipedia.org/wiki/Cisitalia,Cisitalia,Italian
coloni,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,Coloni,Italian
connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British
connew,http://en.wikipedia.org/wiki/Connew,Connew,British
cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British
cooper-alfa_romeo,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Alfa Romeo,British
cooper-ats,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-ATS,British
cooper-borgward,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Borgward,British
cooper-brm,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-BRM,British
cooper-castellotti,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Castellotti,British
cooper-climax,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British
cooper-ferrari,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ferrari,British
cooper-ford,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ford,British
cooper-maserati,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British
cooper-osca,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-OSCA,British
dallara,http://en.wikipedia.org/wiki/Dallara,Dallara,Italian
tomaso,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso,Italian
de_tomaso-alfa_romeo,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Alfa Romeo,Italian
de_tomaso-ferrari,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Ferrari,Italian
de_tomaso-osca,http://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Osca,Italian
deidt,http://en.wikipedia.org/wiki/Deidt,Deidt,American
del_roy,http://en.wikipedia.org/wiki/Del_Roy,Del Roy,American
derrington,http://en.wikipedia.org/wiki/Derrington-Francis,Derrington,British
dunn,http://en.wikipedia.org/wiki/Dunn_Engineering,Dunn,American
eagle,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle,American
eagle-climax,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Climax,American
eagle-weslake,http://en.wikipedia.org/wiki/Anglo_American_Racers,Eagle-Weslake,American
elder,http://en.wikipedia.org/wiki/Elder_(constructor),Elder,American
hill,http://en.wikipedia.org/wiki/Hill_(constructor),Embassy Hill,British
emeryson,http://en.wikipedia.org/wiki/Emeryson,Emeryson,British
emw,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,EMW,East German
enb,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge,ENB,Belgian
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British
epperly,http://en.wikipedia.org/wiki/Epperly,Epperly,American
era,http://en.wikipedia.org/wiki/English_Racing_Automobiles,ERA,British
eurobrun,http://en.wikipedia.org/wiki/Euro_Brun,Euro Brun,Italian
ewing,http://en.wikipedia.org/wiki/Ewing_(constructor),Ewing,American
ferguson,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.,Ferguson,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Fittipaldi,Brazilian
fondmetal,http://en.wikipedia.org/wiki/Fondmetal,Fondmetal,Italian
footwork,http://en.wikipedia.org/wiki/Footwork_Arrows,Footwork,British
force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
forti,http://en.wikipedia.org/wiki/Forti,Forti,Italian
frazer_nash,http://en.wikipedia.org/wiki/Frazer_Nash,Frazer Nash,British
fry,http://en.wikipedia.org/wiki/Fry_(racing_team),Fry,British
gilby,http://en.wikipedia.org/wiki/Gilby,Gilby,British
gordini,http://en.wikipedia.org/wiki/Gordini,Gordini,French
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
hall,http://en.wikipedia.org/wiki/Hall_(constructor),Hall,American
hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British
honda,http://en.wikipedia.org/wiki/Honda_Racing_F1,Honda,Japanese
hrt,http://en.wikipedia.org/wiki/Hispania_Racing,HRT,Spanish
hwm,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British
iso_marlboro,http://en.wikipedia.org/wiki/Iso_Marlboro,Iso Marlboro,British
jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British
jbw,http://en.wikipedia.org/wiki/JBW,JBW,British
jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
kauhsen,http://en.wikipedia.org/wiki/Kauhsen,Kauhsen,German
klenk,http://en.wikipedia.org/wiki/Klenk,Klenk,German
kojima,http://en.wikipedia.org/wiki/Kojima_Engineering,Kojima,Japanese
kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American
lambo,http://en.wikipedia.org/wiki/Modena_(racing_team),Lambo,Italian
lancia,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,Lancia,Italian
langley,http://en.wikipedia.org/wiki/Langley_(constructor),Langley,American
larrousse,http://en.wikipedia.org/wiki/Larrousse,Larrousse,French
lds,http://en.wikipedia.org/wiki/LDS_(automobile),LDS,South African
lds-alfa_romeo,http://en.wikipedia.org/wiki/LDS_(automobile),LDS-Alfa Romeo,South African
lds-climax,http://en.wikipedia.org/wiki/LDS_(automobile),LDS-Climax,South African
lec,http://en.wikipedia.org/wiki/LEC_(Formula_One),LEC,British
lesovsky,http://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American
leyton,http://en.wikipedia.org/wiki/Leyton_House,Leyton House,British
life,http://en.wikipedia.org/wiki/Life_(Racing_Team),Life,Italian
ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French
lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British
lotus_racing,http://en.wikipedia.org/wiki/Lotus_Racing,Lotus,Malaysian
lotus_f1,http://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British
lotus-borgward,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Borgward,British
lotus-brm,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British
lotus-climax,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British
lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British
lotus-maserati,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Maserati,British
lotus-pw,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Pratt &amp; Whitney,British
lyncar,http://en.wikipedia.org/wiki/Lyncar,Lyncar,British
maki,http://en.wikipedia.org/wiki/Maki_(cars),Maki,Japanese
manor,http://en.wikipedia.org/wiki/Manor_Motorsport,Manor Marussia,British
march,http://en.wikipedia.org/wiki/March_Engineering,March,British
march-alfa_romeo,http://en.wikipedia.org/wiki/March_Engineering,March-Alfa Romeo,British
march-ford,http://en.wikipedia.org/wiki/March_Engineering,March-Ford,British
marchese,http://en.wikipedia.org/wiki/Marchese_(constructor),Marchese,American
martini,http://en.wikipedia.org/wiki/Martini_(cars),Martini,French
marussia,http://en.wikipedia.org/wiki/Marussia_F1,Marussia,Russian
maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
matra,http://en.wikipedia.org/wiki/Matra,Matra,French
matra-ford,http://en.wikipedia.org/wiki/Matra,Matra-Ford,French
mbm,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors,MBM,Swiss
mcguire,http://en.wikipedia.org/wiki/McGuire_(Formula_One),McGuire,Australian
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mclaren-alfa_romeo,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-Alfa Romeo,British
mclaren-brm,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-BRM,British
mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British
mclaren-seren,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Serenissima,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
merzario,http://en.wikipedia.org/wiki/Merzario,Merzario,Italian
meskowski,http://en.wikipedia.org/wiki/Meskowski,Meskowski,American
mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing,MF1,Russian
milano,http://en.wikipedia.org/wiki/Scuderia_Milano,Milano,Italian
minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
moore,http://en.wikipedia.org/wiki/Moore_(constructor),Moore,American
nichels,http://en.wikipedia.org/wiki/Nichels,Nichels,American
olson,http://en.wikipedia.org/wiki/Olson_(constructor),Olson,American
onyx,http://en.wikipedia.org/wiki/Onyx_(racing_team),Onyx,British
osca,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili,OSCA,Italian
osella,http://en.wikipedia.org/wiki/Osella,Osella,Italian
pacific,http://en.wikipedia.org/wiki/Pacific_Racing,Pacific,British
pankratz,http://en.wikipedia.org/wiki/Pankratz,Pankratz,American
parnelli,http://en.wikipedia.org/wiki/Parnelli,Parnelli,American
pawl,http://en.wikipedia.org/wiki/Pawl_(constructor),Pawl,American
penske,http://en.wikipedia.org/wiki/Penske_Racing,Penske,American
phillips,http://en.wikipedia.org/wiki/Phillips_(constructor),Phillips,American
politoys,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,Politoys,British
porsche,http://en.wikipedia.org/wiki/Porsche_in_Formula_One,Porsche,German
prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French
protos,http://en.wikipedia.org/wiki/Protos_(constructor),Protos,British
racing_point,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,Racing Point,British
rae,http://en.wikipedia.org/wiki/Rae_(motorsport),Rae,American
ram,http://en.wikipedia.org/wiki/RAM_Racing,RAM,British
re,http://en.wikipedia.org/wiki/RE_%28automobile%29,RE,Rhodesian
rebaque,http://en.wikipedia.org/wiki/Rebaque,Rebaque,Mexican
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
rial,http://en.wikipedia.org/wiki/Rial_%28racing_team%29,Rial,German
sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
scarab,http://en.wikipedia.org/wiki/Scarab_(constructor),Scarab,American
schroeder,http://en.wikipedia.org/wiki/Schroeder_(constructor),Schroeder,American
scirocco,http://en.wikipedia.org/wiki/Scirocco-Powell,Scirocco,British
shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British
shadow-ford,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow-Ford,British
shadow-matra,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow-Matra,British
shannon,http://en.wikipedia.org/wiki/Shannon_(Formula_One),Shannon,British
sherman,http://en.wikipedia.org/wiki/Sherman_(constructor),Sherman,American
simca,http://en.wikipedia.org/wiki/Simca,Simca,French
simtek,http://en.wikipedia.org/wiki/Simtek,Simtek,British
snowberger,http://en.wikipedia.org/wiki/Snowberger,Snowberger,American
spirit,http://en.wikipedia.org/wiki/Spirit_(racing_team),Spirit,British
spyker,http://en.wikipedia.org/wiki/Spyker_F1,Spyker,Dutch
spyker_mf1,http://en.wikipedia.org/wiki/Midland_F1_Racing,Spyker MF1,Dutch
stebro,http://en.wikipedia.org/wiki/Stebro,Stebro,Canadian
stevens,http://en.wikipedia.org/wiki/Stevens_(constructor),Stevens,American
stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,Stewart,British
super_aguri,http://en.wikipedia.org/wiki/Super_Aguri_F1,Super Aguri,Japanese
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British
sutton,http://en.wikipedia.org/wiki/Sutton_(constructor),Sutton,American
lago,http://en.wikipedia.org/wiki/Talbot-Lago,Talbot-Lago,French
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
tec-mec,http://en.wikipedia.org/wiki/Tec-Mec,Tec-Mec,Italian
tecno,http://en.wikipedia.org/wiki/Tecno,Tecno,Italian
theodore,http://en.wikipedia.org/wiki/Theodore_Racing,Theodore,Hong Kong
token,http://en.wikipedia.org/wiki/Token_(Racing_team),Token,British
toleman,http://en.wikipedia.org/wiki/Toleman,Toleman,British
toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
toyota,http://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese
trevis,http://en.wikipedia.org/wiki/Trevis,Trevis,American
trojan,http://en.wikipedia.org/wiki/Trojan_(Racing_team),Trojan,British
turner,http://en.wikipedia.org/wiki/Turner_(constructor),Turner,American
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
vanwall,http://en.wikipedia.org/wiki/Vanwall,Vanwall,British
veritas,http://en.wikipedia.org/wiki/Veritas_(constructor),Veritas,German
virgin,http://en.wikipedia.org/wiki/Virgin_Racing,Virgin,British
watson,http://en.wikipedia.org/wiki/A.J._Watson,Watson,American
wetteroth,http://en.wikipedia.org/wiki/Wetteroth,Wetteroth,American
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
wolf,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,Wolf,Canadian
zakspeed,http://en.wikipedia.org/wiki/Zakspeed,Zakspeed,German
